country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
AUS,Australia,Rowallan,AUS0000129,10.5,-41.7295,146.2176,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,23.79564244
AUS,Australia,Rubicon,AUS0000095,9.6,-37.3272,145.8605,Hydro,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,21.75601594
AUS,Australia,Savannah Nickel Mine,AUS0000407,10.8,-17.3631,128.0331,Oil,,,,,Contract Power,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,52.66217281
AUS,Australia,Shenton Park WMRC Project,AUS0000328,1,-31.9577,115.7924,Waste,,,,,AnaeCo Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,0
AUS,Australia,Shepparton Biogas Generation Plant,AUS0000017,1.1,-36.3218,145.379,Waste,,,,,Diamond Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,0
AUS,Australia,Smithfield Energy,AUS0000286,170.9,-33.85,150.9495,Gas,,,,,Marubeni Australia Power Services,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,443.957159
AUS,Australia,Snowtown Wind Farm Stage 1,AUS0000005,98.7,-33.7215,138.1471,Wind,,,,1957,TrustPower Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,237.8984243
AUS,Australia,Snowtown Wind Farm Stage 2,AUS0000456,98.7,-33.8301,138.1184,Wind,,,,2012,TrustPower Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,237.89842
AUS,Australia,Snuggery,AUS0000245,63,-37.6646,140.4156,Gas,,,,,International Power - GDF Suez Australia,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,163.65887
AUS,Australia,Solomon Iron Ore Mine,AUS0000458,125,-22.1581,117.9849,Gas,,,,,,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,,,,,,324.71998
AUS,Australia,Somerton,AUS0000096,160,-37.6318,144.9531,Gas,,,,2004,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,415.64158
AUS,Australia,South Cardup (Shale Road Landfill),AUS0000359,3.3,-32.2664,116.0193,Waste,,,,,Western Australian Landfill Services,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,0
AUS,Australia,South Johnstone,AUS0000374,20,-17.6057,145.991,Biomass,,,,1995,MSF Sugar,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,146.9037657
AUS,Australia,Springvale,AUS0000071,4.12,-37.9733,145.1396,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,0
AUS,Australia,St George Leagues Club,AUS0000318,1.5,-33.9748,151.1294,Oil,,,,,St George Leagues Club,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,7.314190668
AUS,Australia,Stanwell,AUS0000168,1460,-23.5097,150.3195,Coal,,,,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,7178.738327
AUS,Australia,Stapylton Green Energy,AUS0000347,4.8,-27.7334,153.2463,Biomass,,,,,Stapylton Green Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,35.25690377
AUS,Australia,Starfish Hill Wind Farm,AUS0000052,34.5,-35.5678,138.1432,Wind,,,,,RATCH-Australia,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,83.15598418
AUS,Australia,Studland Bay (Woolnorth) Wind Farm,AUS0000010,75,-40.7788,144.7362,Wind,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,180.7738787
AUS,Australia,Summerhill,AUS0000033,2.2,-32.8885,151.643,Waste,,,,1995,LMS Energy Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,0
AUS,Australia,Suncoast Gold Macadamia,AUS0000059,1.5,-26.2261,152.6981,Biomass,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,2012,,,,,11.01778243
ECU,Ecuador,Alao,WRI1018590,10,-1.9,-78.4833,Hydro,,,,,E.E. Riobamba,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,69.12,,,,35.20858428
ECU,Ecuador,Alvaro Tinajero,WRI1018591,95,-2.1667,-79.9,Gas,,,,,Electrica de Guayaquil,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,121.8,,,,650.9296429
ECU,Ecuador,Calope,WRI1018594,18,1.7167,-78.7667,Hydro,,,,,Enermax,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,90,,,,63.37545171
ECU,Ecuador,Catamayo,WRI1018595,19.74,-3.9833,-79.35,Oil,,,,,Regional Sur,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,10,,,,384.4123028
ECU,Ecuador,Central Termica Trinitaria,WRI1018598,133,-2.2519,-79.91,Oil,,,,,Electroguayas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,629.48,,,,2590.011969
ECU,Ecuador,Coca Coda Sinclair,WRI1018599,1500,0.1443,-77.617,Hydro,,,,,Cocasinclair EP,Agencia de Regulacion y Control de Electricidad,http://www.power-technology.com/projects/coca-codo-sinclair-hydroelectric-project/,http://www.power-technology.com/projects/coca-codo-sinclair-hydroelectric-project/,,8743,,,,5281.287642
ECU,Ecuador,Electroquil,WRI1018603,181,-2.2333,-80.0667,Gas,,,,2004,Electroquil,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,217.06,,,,1240.192267
ECU,Ecuador,Esmeraldas,WRI1018604,132.5,0.9266,-79.6878,Oil,,,,,Termoesmeraldas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,755.35,,,,2580.275082
ECU,Ecuador,Esmeraldas II,WRI1022989,96,0.9349,-79.6914,Oil,,,,,CELEC EP,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/esmeraldas/,http://www.energia.gob.ec/esmeraldas/,,,,,,1869.482324
ECU,Ecuador,Gonzalo Zevallos,WRI1018606,146,2.1957,-79.9539,Gas,,,,,Electroguayas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,687,,,,1000.376083
ECU,Ecuador,Gualberto Hernandez,WRI1018607,34.32,-0.2299,-78.525,Oil,,,,,EEQ SA,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,142.15,,,,668.3399307
ECU,Ecuador,Guangopolo,WRI1018608,20.92,-0.25,-78.45,Hydro,,,,,E.E. Quito,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,86.4,,,,73.65635832
ECU,Ecuador,Manduriacu,WRI1022990,65,#NAME?,-78.9122,Hydro,,,,1998,,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/manduriacu/,http://www.energia.gob.ec/manduriacu/,,,,,,228.8557978
ECU,Ecuador,Miraflores,WRI1018615,52.3,0.0333,-78.15,Oil,,,,,Termoesmeraldas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,58,,,,1018.478391
ECU,Ecuador,Paute,WRI1018618,1100,-2.595,-78.2274,Hydro,,,,,CELEC EP,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,5856,,,,3872.944271
ECU,Ecuador,Santa Rosa,WRI1018624,51.3,-0.3667,-78.55,Gas,,,,,Termopichincha,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,17.9,,,,351.5020072
ECU,Ecuador,Saucay,WRI1018625,24,-2.7833,-79,Hydro,,,,2001,Elecaustro,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,141.42,,,,84.50060228
ECU,Ecuador,Saymirin,WRI1018626,14.4,-2.8167,-79,Hydro,,,,1981,Elecaustro,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,96.26,,,,50.70036137
