country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
IND,India,Thimmapuram Wind Farm,WRI1026659,200,14.7053,77.3355,Wind,,,,,Rayala Wind Power Company Private Limited,CDM,https://cdm.unfccc.int/Projects/DB/DNV-CUK1351859167.83/view,WRI,,,,,,2037
IND,India,Tinwari - MB Solar Power Plant,WRI1026218,5,26.5182,72.8536,Solar,,,,,Moser Baer Solar Limited (MBSL),Moser Baer Solar Limited (MBSL),http://www.moserbaersolar.com,Industry About,,,,,,10
IND,India,Tiruppur,WRI1026098,1.5,10.8139,77.3785,Wind,,,,,,CDM,https://cdm.unfccc.int/Projects/DB/PJR%20CDM1355461708.47/view,WRI,,,,,,15.28110991
GBR,United Kingdom,Drummond Moor Landfill,GBR0000799,2,55.8822,-3.0774,Waste,,,,,Waste Recycling Group,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,4.338203696
GBR,United Kingdom,Dryholme Farm (Farm AD),GBR0000267,1,54.8563,-3.3586,Biomass,,,,,Kirk Environmental,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,6.743264416
GBR,United Kingdom,Dudley EfW,GBR0000813,7.4,52.4998,-2.0854,Waste,,,,,MES Environmental (CNIM Group),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,16.05135367
GBR,United Kingdom,Dummuie,GBR0003200,12.3,57.4511,-2.6915,Wind,,,,,Tetro Energy Ltd (ECO2),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,21.16273321
GBR,United Kingdom,Dyffryn Brodyn Wind Farm,GBR0002956,5.5,51.9112,-4.5907,Wind,,,,,RES,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,9.463010783
GBR,United Kingdom,EASTACOMBE SOLAR FARM,GBR0001610,3.6,50.773,-4.3353,Solar,,,,,The Green Company (Europe) Limited,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,1.777636889
GBR,United Kingdom,Eaglescliffe Solar Farm,GBR0005359,5,54.5409,-1.3552,Solar,,,,,UK Sustainable Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,2.468940124
GBR,United Kingdom,Eakring Solar Farm,GBR0002320,11.9,53.1547,-1.014,Solar,,,,,Lightsource Renewable Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,5.876077494
GBR,United Kingdom,Earl's Hall,GBR0003943,10.3,51.8092,1.1109,Wind,,,,,Greencoat UK Wind,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,17.72163838
GBR,United Kingdom,Earlsburn,GBR0003201,37.5,56.0708,-4.0955,Wind,,,,,Falck Renewables,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,64.52052807
GBR,United Kingdom,Earlsburn North (Kingsburn) Wind Farm,GBR0004247,22.5,56.089,-4.1231,Wind,,,,,Falck Renewables,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,38.71231684
GBR,United Kingdom,Earlseat,GBR0004363,18.4,56.1737,-3.0813,Wind,,,,,The Renewables Infrastructure Group (TRIG),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,31.65807244
GBR,United Kingdom,Earlstoun,GBR1000458,14,54.941,-3.9278,Hydro,,,,,Scottish Power: Hydro schemes - Galloway,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,CARMA,2016,,,,,32.54251667
GBR,United Kingdom,Eas a Ghaill,GBR0005947,1.5,56.4044,-4.925,Hydro,,,,,Gilkes Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,3.486698214
GBR,United Kingdom,Easington Farm (Chalgrove),GBR0002333,21.3,51.6705,-1.0597,Solar,,,,,Chalgrove Solar,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,10.51768493
GBR,United Kingdom,East Dagenham Docks AD (AD),GBR0000281,1.4,51.5212,0.1375,Biomass,,,,,Lynton Development Ltd & Teg Environmental Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,9.440570182
GBR,United Kingdom,East Fairlee,GBR0001762,7.3,50.7106,-1.1375,Solar,,,,,The Solar Building Company Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,3.60465258
GBR,United Kingdom,East Langford Farm,GBR0001022,5,50.8701,-4.4271,Solar,,,,,Low carbon Solar Partners,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,2.468940124
