country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh,Column
AUS,,Australia,Somerton,AUS0000096,160,-37.6318,144.9531,Gas,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,415.64158
AUS,,Australia,South Cardup (Shale Road Landfill),AUS0000359,3.3,-32.2664,116.0193,Waste,,,,,Western Australian Landfill Services,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,South Johnstone,AUS0000374,20,-17.6057,145.991,Biomass,,,,,MSF Sugar,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,146.9037657
AUS,,Australia,Springvale,AUS0000071,4.12,-37.9733,145.1396,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,St George Leagues Club,AUS0000318,1.5,-33.9748,151.1294,Oil,,,,,St George Leagues Club,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,7.314190668
AUS,,Australia,Stanwell,AUS0000168,1460,-23.5097,150.3195,Coal,,,,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,7178.738327
AUS,,Australia,Stapylton Green Energy,AUS0000347,4.8,-27.7334,153.2463,Biomass,,,,,Stapylton Green Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,35.25690377
AUS,,Australia,Starfish Hill Wind Farm,AUS0000052,34.5,-35.5678,138.1432,Wind,,,,,RATCH-Australia,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,83.15598418
AUS,,Australia,Studland Bay (Woolnorth) Wind Farm,AUS0000010,75,-40.7788,144.7362,Wind,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,180.7738787
AUS,,Australia,Summerhill,AUS0000033,2.2,-32.8885,151.643,Waste,,,,,LMS Energy Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,Suncoast Gold Macadamia,AUS0000059,1.5,-26.2261,152.6981,Biomass,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,11.01778243
CHL,Chile,ANGOL (LOS SAUCES),CHL0000134,1.5,-37.9658,-72.8269,Oil,,,,,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,2.344,
,Chile,ANGOSTURA,CHL0001005,324,-37.7103,-71.8169,Hydro,,,,,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,1167.563,
,CHL,Chile,ANTILHUE,CHL0000092,101.3,-39.8009,-73.1852,Oil,,,,,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,158.2885404
,CHL,Chile,ANTUCO,CHL0001006,320,-37.3103,-71.6264,Hydro,,,,,ENDESA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,1153.148206
,CHL,Chile,ATACAMA (CC1-CC2),CHL0000002,767.8,-23.0898,-70.4168,Gas,,,,,GASATACAMA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,3199.051648
,CHL,Chile,CBB-CENTRO,CHL0000095,13.532,-34.8666,-71.1432,Oil,,,,,EQUIPOS GENERACION S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,21.14472388
,CHL,Chile,CENIZAS,CHL0000049,13.9,-27.4809,-70.3897,Oil,,,,,ELECTRICA CENIZAS S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,21.71975036
,CHL,Chile,CHACABUQUITO,CHL0001017,26,-32.8535,-70.5061,Hydro,,,,,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,93.69329173
,CHL,Chile,CHACAYES,CHL0001018,112,-34.2756,-70.4523,Hydro,,,,,PACIFICHYDRO,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,403.6018721
,CHL,Chile,CHANARES,CHL0004001,36,-26.3748,-70.0657,Solar,,,,,,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,33.47722735
,CHL,Chile,CHAPIQUINA,CHL0001019,10,-18.3695,-69.5469,Hydro,,,,,E-CL S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,36.03588144
,CHL,Chile,CHIBURGO,CHL0001020,19,-35.6615,-71.3551,Hydro,,,,,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,68.46817473
,CHL,Chile,CHILOE,CHL0000082,9,-43.0914,-73.6155,Oil,,,,,ELEKTRAGEN,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,14.06314772
,CHL,Chile,CHUFKEN (TRAIGUEN),CHL0000043,1.6,-38.2624,-72.6165,Oil,,,,,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,2.500115149
,CHL,Chile,CHUYACA,CHL0000083,11.3,-40.5786,-73.0884,Oil,,,,,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,17.65706324
ECU,,Ecuador,Alao,WRI1018590,10,-1.9,-78.4833,Hydro,,,,,E.E. Riobamba,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,69.12,,,,35.20858428
ECU,,Ecuador,Alvaro Tinajero,WRI1018591,95,-2.1667,-79.9,Gas,,,,,Electrica de Guayaquil,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,121.8,,,,650.9296429
ECU,,Ecuador,Calope,WRI1018594,18,1.7167,-78.7667,Hydro,,,,,Enermax,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,90,,,,63.37545171
ECU,,Ecuador,Catamayo,WRI1018595,19.74,-3.9833,-79.35,Oil,,,,,Regional Sur,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,10,,,,384.4123028
ECU,,Ecuador,Central Termica Trinitaria,WRI1018598,133,-2.2519,-79.91,Oil,,,,1994,Electroguayas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,WRI,,629.48,,,,2590.011969
ECU,,Ecuador,Coca Coda Sinclair,WRI1018599,1500,0.1443,-77.617,Hydro,,,,2010,Cocasinclair EP,Agencia de Regulacion y Control de Electricidad,http://www.power-technology.com/projects/coca-codo-sinclair-hydroelectric-project/,WRI,,8743,,,,5281.287642
ECU,,Ecuador,Electroquil,WRI1018603,181,-2.2333,-80.0667,Gas,,,,,Electroquil,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,217.06,,,,1240.192267
ECU,,Ecuador,Esmeraldas,WRI1018604,132.5,0.9266,-79.6878,Oil,,,,,Termoesmeraldas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,WRI,,755.35,,,,2580.275082
ECU,,Ecuador,Esmeraldas II,WRI1022989,96,0.9349,-79.6914,Oil,,,,2014,CELEC EP,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/esmeraldas/,WRI,,,,,,1869.482324
ECU,,Ecuador,Gonzalo Zevallos,WRI1018606,146,2.1957,-79.9539,Gas,,,,1978,Electroguayas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,WRI,,687,,,,1000.376083
ECU,,Ecuador,Gualberto Hernandez,WRI1018607,34.32,-0.2299,-78.525,Oil,,,,,EEQ SA,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,142.15,,,,668.3399307
ECU,,Ecuador,Guangopolo,WRI1018608,20.92,-0.25,-78.45,Hydro,,,,,E.E. Quito,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,86.4,,,,73.65635832
ECU,,Ecuador,Manduriacu,WRI1022990,65,#NAME?,-78.9122,Hydro,,,,2015,,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/manduriacu/,WRI,,,,,,228.8557978
ECU,,Ecuador,Miraflores,WRI1018615,52.3,0.0333,-78.15,Oil,,,,,Termoesmeraldas,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,58,,,,1018.478391
ECU,,Ecuador,Paute,WRI1018618,1100,-2.595,-78.2274,Hydro,,,,,CELEC EP,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,WRI,,5856,,,,3872.944271
ECU,,Ecuador,Santa Rosa,WRI1018624,51.3,-0.3667,-78.55,Gas,,,,,Termopichincha,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,17.9,,,,351.5020072
ECU,,Ecuador,Saucay,WRI1018625,24,-2.7833,-79,Hydro,,,,,Elecaustro,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,141.42,,,,84.50060228
ECU,,Ecuador,Saymirin,WRI1018626,14.4,-2.8167,-79,Hydro,,,,,Elecaustro,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,96.26,,,,50.70036137
ECU,,Ecuador,Sibimbe,WRI1018627,15,-1.5833,-79.4333,Hydro,,,,,Hidrosibimbe,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,CARMA,,89.25,,,,52.81287642
ECU,,Ecuador,Sopladora II,WRI1022992,487,-2.5938,-78.5666,Hydro,,,,,CELEC EP,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/sopladora/,WRI,,2800,,,,1714.658055
IND,India,SANGLI MIRAJ BIOMASS,WRI1019982,10,16.9171,74.4821,Biomass,,,,,Sinewave Pvt ltd,Sinewave Pvt ltd,https://cdm.unfccc.int/Projects/redirector?ref=4063,WRI,,,,,,238.303,
,IND,India,SANGLI VASANTDADA,WRI1019983,12.5,16.881,74.5898,Biomass,,,,,Vasantdada Ssk ltd,Vasantdada Ssk ltd,http://viainfotech.biz/Biomass/theme5/document/green_market/REC-project-list.pdf,WRI,,,,,,297.8789147
,IND,India,SANJAY BHABA,IND0000391,120,31.2642,78.4835,Hydro,,,,1989,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,533.7976,542.36455,0,,
,IND,India,SANJAY GANDHI,IND0000392,1340,23.3026,81.0668,Coal,Oil,,,2000,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,7307.679,6229.793,6483.941,,
,IND,India,SANKESHWAR MILL,WRI1019933,26,16.2478,74.5003,Biomass,,,,,Shri Hiranyakeshi ssk,Shri Hiranyakeshi ssk,http://www.belgaum.nic.in/english/Heerasugarfactory.html,WRI,,,,,,619.5881427
,IND,India,SANTALDIH,IND0000393,500,23.6013,86.4666,Coal,Oil,,,2009,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2463.44,3125.74,3378.12,,
,IND,India,SARKARPATHY,IND0000394,30,10.4558,76.8302,Hydro,,,,1966,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,137.30005,133.5688,78.8836,,
,IND,India,SASAN UMPP,IND0000395,3960,23.9784,82.6275,Coal,Oil,,,2013,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2747.91825,15069,29342,,
,IND,India,SATNA CEMENT PLANT,WRI1020009,29,24.5959,80.858,Coal,,,,,Birla Corp ltd,Birla Corp ltd,http://www.birlacorporation.com/,WRI,,,,,,378.6501813
,IND,India,SATPURA,IND0000396,1330,22.11,78.173,Coal,Oil,,,1993,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,4191.364,5532.937,4959.34,,
,IND,India,SBT SUGAR,WRI1019984,16,19.6125,74.1924,Biomass,,,,,Sahakarmaharshi Bhausaheb thor,Sahakarmaharshi Bhausaheb thor,http://www.thoratsugar.com/,WRI,,,,,,381.2850109
,IND,India,SEIONI TPP,IND0000397,600,22.7355,79.9123,Coal,Oil,,,2016,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,,,3.7026,,7834.141681
,IND,India,SUGEN CCCP,IND0000428,1147.5,21.3395,72.9889,Gas,,,,2008,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2230,2519,3516.449,,
,IND,India,SURAT LIG.,IND0000430,500,21.397,73.106,Coal,Oil,,,2004,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2617.033,2866.784,2697.969,,
,IND,India,SURATGARH,IND0000431,1500,29.179,74.0202,Coal,Oil,,,2002,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,8556.424,9155.18,5282,,
,IND,India,SURULIYAR,IND0000432,35,9.62,77.2726,Hydro,,,,1978,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,99.94775,102.91285,92.0375,,
,IND,India,SURYA,IND0000433,6,19.9214,73.0575,Hydro,,,,1998,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,,,,,9.515404868
,IND,India,SVPL,IND0000434,63,22.2915,82.5257,Coal,Oil,,,2011,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,0,0,51.9464,,
,IND,India,SWASTIK KORBA,IND0000435,25,22.3005,82.7047,Coal,Oil,,,2015,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,,0,0,,
