country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
GTM,Guatemala,Renace,WRI1061406,68.1,15.5,-90.174,Hydro,,,,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,218.3,327.659
GTM,Guatemala,Rio Bobos,WRI1061407,10,15.36,-88.726,Hydro,,,,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,44.8,48.114
GTM,Guatemala,San Antonio El Sitio,WRI1061452,48,14.36,-90.556,Wind,,,2015,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,122.38,0
GTM,Guatemala,San Jose,WRI1061419,139,14.16,-90.787,Coal,,,,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,1044.7,450.62
GTM,Guatemala,Santa Ana,WRI1061447,104.5,14.24,-90.842,Biomass,,,1995,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,372.7,267.87
GTM,Guatemala,Santa Teresa,WRI1061410,17,15.3,-90.143,Hydro,,,,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,59.6,81.794
GTM,Guatemala,Secacao,WRI1061411,16.5,15.41,-89.779,Hydro,,,,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,104.7,79.389
GTM,Guatemala,Sibo,WRI1029289,5,14.98,-89.651,Solar,,,2014,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,8.7,0.412
GTM,Guatemala,Trinidad,WRI1061449,86.8,14.15,-90.841,Biomass,,,2011,Unknown,Unknown,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,167.4,222.498
GTM,Guatemala,Tulula,WRI1061450,50,14.51,-91.586,Biomass,,,2001,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,93.6,128.167
GTM,Guatemala,Viento Blanco,WRI1029291,23.1,14.36,-90.556,Wind,,,2015,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,92.7,0
GTM,Guatemala,Vision de Aguila,WRI1061412,2.1,15.6,-90.398,Hydro,,,,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,7,10.104
GTM,Guatemala,Xacbal,WRI1061413,94,15.62,-91.085,Hydro,,,,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,369.9,452.275
GTM,Guatemala,Zunil,WRI1061453,28.6,14.77,-91.505,Geothermal,,,1999,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,135.48,131.305
KEN,Kenya,Gitaru,WRI1000039,225,-0.7967,37.7497,Hydro,,,1978,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,WRI,,,,,862,948.484
KEN,Kenya,Iberafrica I & II (Nairobi south diesel PP),WRI1061216,109,-1.2431,36.8905,Oil,,,,Iberafrica Power Ltd,GPG ; Kenya Power,http://www.globalpower-generation.com/projects/kenya/ ; http://www.kplc.co.ke/AR2016/KPLC%202016%20Annual%20Report%20Upload.pdf,WRI,,,,,128,336.32
KEN,Kenya,Kamburu,WRI1000040,94.2,-0.8093,37.6867,Hydro,,,1974,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,,,,,434,397.099
KEN,Kenya,Kiambere,WRI1000041,168,-0.64,37.91,Hydro,,,1987,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,,,,,996,708.202
KEN,Kenya,Kindaruma,WRI1000042,72,-0.806,37.811,Hydro,,,1968,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,,,,,208,303.515
KEN,Kenya,Kipevu I,WRI1000050,74,-4.04,39.638,Oil,,,2011,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,GEODB,,,,,129,228.328
KEN,Kenya,Kipevu II (Tsavo),WRI1000051,74.5,-4.0379,39.6333,Oil,,,2001,Tsavo Power Company,Wartsila,http://www.wartsila.com/resources/customer-references/view/kipevu-ii-iii-kenya,GEODB,,,,,39,229.87
KEN,Kenya,Kipevu III,WRI1000052,120,-4.0379,39.6333,Oil,,,1999,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,GEODB,,,,,181,370.261
